viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
1773801,11583,0,3050,국제유가,밤사이 국제유가 &#39;폭락&#39;‥WTI 100달러 붕괴 (2022.07.06/뉴스투데이/MBC),MBCNEWS,https://www.youtube.com/watch?v=vnl2xFjWUz8,2022-07-06
786038,4538,0,386,국제유가,국제유가를 흔들 수 있는 원유매장량이 많은 나라들,보통남자,https://www.youtube.com/watch?v=_LD-qsg_R9I,2021-06-11
530700,2981,0,3329,국제유가,국제유가 떨어질 때도…기름값은 40일째 &#39;요지부동&#39; / JTBC 뉴스룸,JTBC News,https://www.youtube.com/watch?v=GcHEOZiW-sA,2022-06-14
524517,8381,0,215,국제유가,"국제유가의 열쇠, 석유 부자 국가 사우디 [사우디아라비아 1~7부 통합본]",최준영 박사의 지구본 연구소,https://www.youtube.com/watch?v=KrVxRE-f5so,2022-03-25
453455,2774,0,828,국제유가,국제유가 7% 폭락...바이든 &quot;모든 수단 쓰고 있다&quot; / YTN, YTN,https://www.youtube.com/watch?v=pQgWUsm_Wvk,2022-06-18
186812,3821,0,435,국제유가,윤석열 정부 기름값 정책 실패? 국제유가 떨어질 때 국내유가는 고공행진 논란!,깨어있는대구시민들,https://www.youtube.com/watch?v=sbmxK6q5A3c,2022-07-01
129234,229,0,17,국제유가,국제유가가 결정되는 원리와 예측 가능성! [에너지식백과],암요에너지,https://www.youtube.com/watch?v=jE2esCxLLvc,2020-01-03
104927,7208,0,252,국제유가,국제 유가는 한없이 올라가는데 전기차와 배터리 관련주는 모두 폭락 중! 타이거 차이나전기차 주가 혼자만 상승하지는 못한다 관련주들이 함께 간다.향후 주가 전망.,힐링여행자,https://www.youtube.com/watch?v=mOkCetgsSpc,2022-03-06
95455,539,0,452,국제유가,경기침체 공포에 국제유가 8% 이상 폭락 / KBS  2022.07.06.,KBS News,https://www.youtube.com/watch?v=QOHdsiPyBiI,2022-07-06
82400,3189,0,303,국제유가,(재테크)국제유가 3일만에 30%폭등했다 지금이라도 투자해?,재테크읽어주는 파일럿,https://www.youtube.com/watch?v=6WGGCiAx5ms,2020-04-06
75971,580,0,122,국제유가,[ET] 유가 연중 최저치에 ‘경기 침체 공포’…채권·금 투자로 눈 돌려볼까 / KBS  2022.12.07.,KBS News,https://www.youtube.com/watch?v=kUs30GdEBNU,2022-12-07
69897,586,0,181,국제유가,국제 유가 우크라 전쟁 이전 수준 하락...경기 침체 우려 / YTN, YTN,https://www.youtube.com/watch?v=Jz50gBDfuGE,2022-08-17
59747,406,0,105,국제유가,국제유가 80달러 선 붕괴…&quot;고물가 · 저성장이 새로운 표준&quot; / SBS,SBS 뉴스,https://www.youtube.com/watch?v=q5CFSgYMGD0,2022-09-24
59029,6946,0,119,국제유가,"국제유가 내렸다. 왜? 정유사, 좋은 말 할 때(?) 기름값 내려라. 유럽, 정유사 &quot;횡재세&quot; 도입..? [RNB, 레지스탕스TV, 정광용TV]",[정광용 TV]레지스탕스TV,https://www.youtube.com/watch?v=_PvpCmKcnoE,2022-06-18
58731,2688,0,,국제유가,트럼프는 계획이 있었나? 국제유가 폭락이 유동성 폭발을 불러오나?,자유인awesome,https://www.youtube.com/watch?v=afs6iYuW8gw,2020-03-15
57633,2599,0,,국제유가,국제유가 100달러 시대 온다! 왜 부동산이 위험한가?,쇼킹부동산,https://www.youtube.com/watch?v=cuI0u1TPNo8,2022-01-27
50268,5053,0,209,국제유가,"[주가전망]나스닥3%하락,국제유가7%급락,삼성전자에 미치는 영향은[SK하이닉스,네이버,카카오,롯데케미칼,LG화학]",TV주식의 강해,https://www.youtube.com/watch?v=Df1CEUecfyM,2021-03-19
43975,1807,0,139,국제유가,국제유가 폭등. 시황 및 전략(삼성전자 삼성sdi 인버스 부광약품 알서포트..),하승훈의 주식투자,https://www.youtube.com/watch?v=qHJ6FBBNEfg,2020-04-02
42394,,0,292,국제유가,국제유가 마이너스 폭락  냉철의 대응전략은?,냉철tv,https://www.youtube.com/watch?v=N1KwgOIsO4U,2020-04-22
41652,152,0,177,국제유가,새해 휘발유 가격 리터당 99원 인상...국제 유가 들썩 / YTN, YTN,https://www.youtube.com/watch?v=C-4OU7eL3kU,2022-12-31
41217,836,0,28,국제유가,[국제유가] 경제 절대 어렵지 않아요~ 경린이 탈출 프로젝트 &quot;또! 오건영&quot; #11,신한은행,https://www.youtube.com/watch?v=CwRAeAL_NLg,2021-05-18
40710,431,0,96,국제유가,또 흔들리는 국제유가...물가 안정에 최대 악재 / YTN, YTN,https://www.youtube.com/watch?v=ZSlnOyMsxE8,2022-10-10
38434,1916,0,44,국제유가,"국제유가가 떨어지면, &#39;이 기업&#39;에 주목하세요 [김영익 공식채널]",김영익의 경제스쿨,https://www.youtube.com/watch?v=DWTEYW_xBCs,2023-01-19
35011,277,0,67,국제유가,국제유가 110달러 돌파...&#39;러시아 원유&#39; 공급 차질 현실로? / YTN, YTN,https://www.youtube.com/watch?v=nyJAqPWVUN8,2022-03-03
31752,3351,0,29,국제유가,[시장 충격?] 국제유가 폭등 &quot;석유파동 곧 온다?&quot;...러·우크라 충돌 &quot;시장 또 무너진다&quot;...K방역 대실패 &quot;결국 10만 넘었다&quot;...상가공실률 제로 &quot;우린 명동과 달라&quot;,정완진TV,https://www.youtube.com/watch?v=1wSx5ZPIPlw,2022-02-18
31441,1495,0,,국제유가,국제유가 110불 시대가 왔습니다. 부동산은 어떻게 될까요?,쇼킹부동산,https://www.youtube.com/watch?v=9oocxnFta0g,2022-03-02
30860,1131,0,26,국제유가,국제유가 등 원자재 가격 상승! 경제지표로 보는 앞으로 전망은? | 김영익 교수 | 원자재 | 제조업 | 수출 | 경제전망 | 주식전망 |,E트렌드,https://www.youtube.com/watch?v=8yckTKmxlLw,2021-06-23
28211,737,0,46,국제유가,"‘국제유가 폭락’ 치킨게임 승자는?ㅣWTI 전망, 미국, 러시아, 사우디, 원유 투자 [롱앵커]",롱앵커,https://www.youtube.com/watch?v=d4NOYzrRIU8,2020-03-25
27719,2398,0,68,국제유가,나스닥-1.66%#국제유가115달러돌파#마이크론테크8%급락#테슬라조건부승인#원자재방산주헬스케어방어주상승#다음주국내증시영향은?,TV주식의 강해,https://www.youtube.com/watch?v=2aKkozxi-s0,2022-03-05
26064,2649,0,79,국제유가,나스닥+1.33%3일째올라#국제유가9%급등#VIX3일째하락#셀트리온화이자코로나치료제위탁생산선정#삼성전자LG에너지솔루션#리오프닝#국내증시영향은,TV주식의 강해,https://www.youtube.com/watch?v=fDEc1hrfLlk,2022-03-18
26055,2906,0,73,국제유가,"나스닥-1.56%하락#국제유가급등세멈쳐#니켈,알루미늄,아연최고가#파월인플레이션경고#마이크론테크,테슬라하락#국내증시영향은",TV주식의 강해,https://www.youtube.com/watch?v=fExTqkrsBeY,2022-03-04
25810,1952,0,277,국제유가,"[2022.03.31] 미국 비축유 하루 100만 배럴 푼다, 국제 유가 하락, 한인여성 강도 막아선 용감한 피자 가게 부자, 차에서 잠자면서 대학다니는 캘리포니아 홈리스 학생들", 켄PD의 우연한 행복,https://www.youtube.com/watch?v=zZAE0SdBYas,2022-04-01
25078,1667,0,18,국제유가,"비트코인 내일부터 이벤트 시작,국제유가 폭락이 주는 경기침체 시그널, 11월08일 중요한 일정, 2017년도 100배 펌핑 볼 수 있을까?",코인이슈 경제 채널,https://www.youtube.com/watch?v=CM0gYKq3Zz4,2022-07-06
25030,2847,0,66,국제유가,나스닥-1.59%3대지수하락#WTI국제유가105달러#유럽천연가스가격25%급등#VIX지수급등#유가가스대체에너지#국내증시영향은,TV주식의 강해,https://www.youtube.com/watch?v=6mL_jr7rLRI,2022-03-02
24093,2489,0,67,국제유가,다우-171p나스닥보합마감#구글마이크로소프트상승#국제유가상승#에너지주하락#삼성전자sk하이닉스LG에너지솔루션#국내증시영향은,TV주식의 강해,https://www.youtube.com/watch?v=cvRPMEVcbXE,2022-02-15
23899,2774,0,77,국제유가,나스닥이틀째하락-2.2%#상하이봉쇄조치연장#국제유가하락#애플구글마이크로소트프하락#삼성전자잠정실적발표#테슬라하락#오늘장영향은,TV주식의 강해,https://www.youtube.com/watch?v=2PT2ee3Ll0c,2022-04-07
23864,1761,0,,국제유가,투기자본 나가는 국제유가 급락한다는 의견이 나오고있다,피셔인베스트,https://www.youtube.com/watch?v=vr19nd9RUvs,2022-06-23
23610,2097,0,19,국제유가,[뉴스속보] 충격!! 국제유가 &#39;폭락&#39;...&quot;주가 급등? 변동성이 참 무섭다&quot; [정완진&#39;TV],정완진TV,https://www.youtube.com/watch?v=oQifKBYcrNc,2022-03-16
23537,2644,0,71,국제유가,"나스닥+1.41%상승,파월의장청문회 시장안정#국제유가 4%상승#애플#AMD#테슬라#삼성전자SK하이닉스#포스코#네이버#카카오#에스오일",TV주식의 강해,https://www.youtube.com/watch?v=rkIw0wB4EFU,2022-01-12
