,viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
0,1079467,13686,0,787,유가 전쟁,"가뭄, 전쟁, 유가폭등, 총체적 난국의 밥상 물가",슈카월드,https://www.youtube.com/watch?v=DbK_j3tWHf4,2022-03-23
1,111346,1644,0,619,유가 전쟁,2030이 금수저가 될 수 있는 &#39;마지막&#39; 기회_유가전쟁,데드형,https://www.youtube.com/watch?v=_18jrmKs_QM,2020-03-19
2,75300,2592,0,65,유가 전쟁,"트럼프 푸틴과 다시 손잡다!유가 전쟁 이대로 끝내나! 삼성 퀄컴, 구글, 샤오미 너도나도 제품좀 달라고 아우성! 줄슨다!",돈되는라디오,https://www.youtube.com/watch?v=A-0wMXz3tJA,2020-04-26
3,72957,1128,0,37,유가 전쟁,끝나지 않는 전쟁 그리고 금리에 달러에 유가에! 이들의 고공행진은 언제까지?!😫 | EP.11 [자산어보] #이진우 #정철진 #김광석,BNK금융그룹,https://www.youtube.com/watch?v=CgyeMaLEDZc,2022-11-01
4,69897,586,0,181,유가 전쟁,국제 유가 우크라 전쟁 이전 수준 하락...경기 침체 우려 / YTN, YTN,https://www.youtube.com/watch?v=Jz50gBDfuGE,2022-08-17
5,68057,2166,0,75,유가 전쟁,러시아-우크라 전쟁 고조 속 국제유가 2014년 이후 최고 / 오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 / 출근전 꼭 봐야하는 글로벌 이슈 / 굿모닝한경글로벌마켓,한국경제TV,https://www.youtube.com/watch?v=u8YJWFgi-7o,2022-03-02
6,55182,4484,0,170,유가 전쟁,"전 세계의 주가가 전쟁 장기화, 금리 인상, 국제 유가 상승, 인플레이션 등 산적한 이슈들로 인해서 비관론이 넘치는 분위기. BUT 역사적인 증거 이 또한 지나가리라~",힐링여행자,https://www.youtube.com/watch?v=Yt4gOg86Auo,2022-03-12
7,52010,2100,0,42,유가 전쟁,"트럼프 “이란, 전쟁 원하면 종말 될 것  미국 이란 전쟁 나는가? 유가 100달러 갈 가능성 높아진다. 미 자 국민 철수시작",박 홍기  작가  TV     삶 테크 ,https://www.youtube.com/watch?v=SmgqWNN4xXw,2019-05-20
8,47869,296,0,134,유가 전쟁,"전쟁자금줄 압박에…러, 유가상한제 시행일 대규모 공습 / 연합뉴스 (Yonhapnews)",연합뉴스 Yonhapnews,https://www.youtube.com/watch?v=ZXUkjaMxioM,2022-12-06
9,47648,1953,0,23,유가 전쟁,[간밤 월드뉴스 총정리] “전쟁 때도 주가 재반등…유가 100달러 ↑”/ 조지 볼은 왜 ‘현금이 왕’ 외치나?/ 리비안 매수한 소로스/ “긴축 서두르지 말라”는 Fed 조지·바킨,한경 글로벌마켓,https://www.youtube.com/watch?v=1U33uF8vtDE,2022-02-15
10,40496,3962,0,73,유가 전쟁,[전쟁 공포] &#39;러시아&#39; 우크라 침공? &quot;2022년 2월 16일&quot;...유가 폭등 &quot;퍼펙트스톰 온다?&quot;...검사키트 대란 &quot;가격 10배 폭등?&quot;...전기료 쇼크 &quot;중소기업 줄폐업?&quot;,정완진TV,https://www.youtube.com/watch?v=MzrE2q64paA,2022-02-13
11,39166,185,0,67,유가 전쟁,"트럼프 &quot;러·사우디, 최대 천500만배럴 원유 감산 예상&quot;...유가 폭등세 / YTN", YTN,https://www.youtube.com/watch?v=7dut4DmibMo,2020-04-03
12,38587,2610,0,48,유가 전쟁,통상전쟁·금리인상·유가 상승.충당금 폭탄.원리금상환 .세금폭탄… &#39;저질 체력&#39; 한국 부동산 시장 엎친 데 덮친 격. 덮친다.,박 홍기  작가  TV     삶 테크 ,https://www.youtube.com/watch?v=f02SCJpsidc,2018-09-26
