viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
4826,35,0,17,항공 +코로나 -스포츠,&quot;다시 하늘 날고 싶어요&quot;...코로나 1년 벼랑 끝 항공산업 / YTN, YTN,https://www.youtube.com/watch?v=L-0_i8hiZbY,2021-01-19
40679,453,0,32,항공 +코로나 -스포츠,"[다큐온] ✈️국내 공항과 항공, 여행업계의 새로운 도전의 현장 &quot;코로나를 넘어, 공항의 새로운 도전&quot; (KBS 20211127 방송)",KBS 다큐,https://www.youtube.com/watch?v=SPNXUaSEfMU,2021-12-03
7578,90,0,4,항공 +코로나 -스포츠,코로나19의 직격타를 맞은 항공업계의 현황과 향후 전망 🛫,JOB+채용,https://www.youtube.com/watch?v=iX0cxWiSJ9M,2021-03-05
113,3,0,0,항공 +코로나 -스포츠,세계 항공업계 내년 흑자전환 전망...&quot;코로나 적자 끝&quot; / YTN 사이언스,YTN 사이언스 투데이,https://www.youtube.com/watch?v=urzAmmrKwwE,2022-12-07
1250,8,0,3,항공 +코로나 -스포츠,오늘부터 항공 규제 해제...&quot;포스트 코로나 기대감 속 우려도&quot; / YTN, YTN,https://www.youtube.com/watch?v=kZa2UjUQKFw,2022-06-08
11410,43,0,20,항공 +코로나 -스포츠,코로나 여파에도 &quot;대한항공 들어갈래요&quot; / SBS / 친절한 경제,SBS 뉴스,https://www.youtube.com/watch?v=BrlF7mtcqOE,2020-06-09
1849,20,0,3,항공 +코로나 -스포츠,코로나 족쇄 풀리자 비행기도 &#39;목욕 재개&#39; …항공업계 기대 만발  / 머니투데이방송 (뉴스),MTN 머니투데이방송,https://www.youtube.com/watch?v=hrKFuHClrsI,2022-04-18
5209,35,0,27,항공 +코로나 -스포츠,"&quot;여객 대신 화물&#39;...항공업계, 위기 극복 안간힘 / YTN", YTN,https://www.youtube.com/watch?v=xsvwY9vtaTU,2020-09-26
1615,24,0,0,항공 +코로나 -스포츠,&#39;위드 코로나&#39; 항공업계도 기대 …하늘길 열고 승무원 채용 / 머니투데이방송 (뉴스),MTN 머니투데이방송,https://www.youtube.com/watch?v=k1yLSqGICI0,2021-11-01
3718,30,0,1,항공 +코로나 -스포츠,[ET] 코로나에 버티기 경쟁…무너지는 항공산업 / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=5ANw7feZS04,2020-09-17
11954,70,0,43,항공 +코로나 -스포츠,"코로나 재확산...항공업계, 새해 하늘길도 &#39;울상&#39; / YTN", YTN,https://www.youtube.com/watch?v=EwnpkhfqzsY,2021-01-02
2656,14,0,2,항공 +코로나 -스포츠,[매일경제TV 뉴스] 항공업계 &#39;코로나19發&#39; 구조조정 칼바람…무급휴직 앞두고 막막,매일경제TV,https://www.youtube.com/watch?v=qRO4fzXqw3k,2021-05-28
47162,455,0,36,항공 +코로나 -스포츠,[재택플러스] 대한항공·아시아나 &quot;과일 타세요&quot; (2021.08.03/뉴스투데이/MBC),MBCNEWS,https://www.youtube.com/watch?v=RiJ8GMKWHJQ,2021-08-03
6032,50,0,18,항공 +코로나 -스포츠,[남산뉴스] 무조건 살아남는다. 격차 벌어지는 항공업계!! /코로나19 /대한항공 /화물운송 /국토교통부/조현태/남산뉴스/매일경제TV,매일경제TV,https://www.youtube.com/watch?v=DlLBKhXc-go,2020-09-09
345,10,0,1,항공 +코로나 -스포츠,[항공읽어주는남자] 코로나19 이후 항공수요는 어떻게 될까요? 제1편입니다!,한국교통연구원,https://www.youtube.com/watch?v=Z1X1-8ea66s,2021-02-25
12964257,5333,0,452,항공 +코로나 -스포츠,[아시아나항공] 여행이 떠났다,아시아나항공 (Asiana Airlines),https://www.youtube.com/watch?v=Py-BAqWV144,2020-08-06
348,1,0,0,항공 +코로나 -스포츠,관광·외식·항공 등 전방위 지원…“코로나19 여파 최소화” / KBS뉴스(News),KBS News,https://www.youtube.com/watch?v=c54U0MUT2Wg,2020-02-18
7572,129,0,128,항공 +코로나 -스포츠,일본 &#39;관광 빗장&#39; 완전히 풀었다‥항공 노선 확대 요청 (2022.09.23/뉴스데스크/MBC),MBCNEWS,https://www.youtube.com/watch?v=RLOihCDpK20,2022-09-23
656,4,0,0,항공 +코로나 -스포츠,"[기업] 아시아나항공, &#39;코로나19 일상회복 염원&#39; 영상 공개 / YTN", YTN,https://www.youtube.com/watch?v=AmDwbeCeC2Q,2022-04-19
245,1,0,0,항공 +코로나 -스포츠,코로나에도 항공운송 수출 증가…컴퓨터 수출 증가 덕 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,https://www.youtube.com/watch?v=CbnrMiMC2Ns,2020-06-16
1943,7,0,0,항공 +코로나 -스포츠,"대한항공, 코로나19 후 첫 신규 채용",뉴스토마토,https://www.youtube.com/watch?v=-C3x-x1vAcQ,2021-08-30
1141,94,0,76,항공 +코로나 -스포츠,[REPORT] 코로나19 확산에 따른 항공수요 감소가 심각합니다.,한국교통연구원,https://www.youtube.com/watch?v=R7wbDsbmEKA,2020-05-26
3116,23,0,17,항공 +코로나 -스포츠,[단독] &quot;코로나로 못쓴 항공 마일리지 의무 연장해라&quot;…정부 권고에 항공사 &#39;버티기&#39;/ KBS  2022.10.25.,KBS News,https://www.youtube.com/watch?v=O89-c5OSeyg,2022-10-25
3658,29,0,10,항공 +코로나 -스포츠,오늘부터 항공 규제 전면 해제...백신 미접종자도 격리 면제 / YTN, YTN,https://www.youtube.com/watch?v=w5jSg_112lc,2022-06-08
