,viewCount,likeCount,favoriteCount,commentCount,key,title,channel,url,date
0,1092,16,0,3,항공사+주가,대한항공 2023년 주가결정할 아시아나항공 합병 시나리오는 [키워드타임즈],채널Who,https://www.youtube.com/watch?v=xp9uFEuc6IM,2022-12-20
1,632,7,0,0,항공사+주가,"제주항공(089590)... 항공주, 해외여행 본격화… 주가 날개 펼까?_투자 인사이트 (20230119)",이데일리TV,https://www.youtube.com/watch?v=A1clBPuPAwo,2023-01-19
2,477,11,0,0,항공사+주가,저가항공사 주식 추가상승 가능한 이유! (에어부산/티웨이항공/진에어/제주항공),리딩스탁TV (고퀄리티 주식 교육 채널),https://www.youtube.com/watch?v=YWtM1SGJOY0,2023-01-16
3,3249,356,0,5,항공사+주가,"[#찐시황]  2월은 종목장세! 어차피 정답은 실적 /  바닥 친 종목들 중 &quot;주목할 주식&quot; (SK이노베이션, 에코프로비엠)  박진희 부장",815머니톡,https://www.youtube.com/watch?v=LSkrxXgAo4M,2023-02-06
4,3629,38,0,11,항공사+주가,"[투자의신] 아시아나항공, 사지말아야 하는 이유 알려드립니다",토마토투자자문,https://www.youtube.com/watch?v=271oMDbJA7Y,2022-05-23
5,1283,15,0,2,항공사+주가,대한항공(003490)... 항공주_테마IN이슈 (20221024),이데일리TV,https://www.youtube.com/watch?v=07QaqaF9G8E,2022-10-24
6,372,1,0,0,항공사+주가,"[대한항공]대한항공주가,대한항공분석,대한항공목표가,대한항공실적,대한항공종목분석,대한항공주식,대한항공매매전략,대한항공전망,대한항공주가전망,대한항공주식전망",주식그라운드,https://www.youtube.com/watch?v=Q4f5l3KNe0A,2023-02-02
7,6867,521,0,36,항공사+주가,전직 호텔리어가 전하는 항공사주식 &amp; 호텔주식의 전망과 투자가치 #항공사주식전망 #호텔주식전망,미국주식으로 은퇴하기 - 미주은,https://www.youtube.com/watch?v=GXyu-0NnuE8,2022-07-28
8,2927,49,0,1,항공사+주가,대형 항공사 보다 LCC 주목하는 이유!ㅣ가성비 전략ㅣ한국경제TV,한국경제TV,https://www.youtube.com/watch?v=8XGToef_Czo,2022-07-21
9,318,9,0,2,항공사+주가,[대한항공 주가전망]  역대급 영업이익 달성한 대한항공! 유보율 300% 급등! 목표가 38000원 + 무상증자 발표! #대한항공#대한항공주가,주식의 여왕 송가인,https://www.youtube.com/watch?v=jFvRPIMgWxk,2023-02-02
10,246728,1084,0,539,항공사+주가,&#39;투자의 귀재&#39; 워런 버핏 &quot;美 항공사 주식 전량 매각&quot; / YTN, YTN,https://www.youtube.com/watch?v=kjzVILLav1Q,2020-05-04
11,475,7,0,0,항공사+주가,"[대한항공, 아시아나항공]대한항공, 아시아나항공 및 전망 2023.02.02",카이저_,https://www.youtube.com/watch?v=O6f97vvNgUI,2023-02-02
12,2125,22,0,0,항공사+주가,대한항공(003490)... 항공주_테마IN이슈 (20220824),이데일리TV,https://www.youtube.com/watch?v=uspqQzixXuM,2022-08-24
13,1455,56,0,0,항공사+주가,"[오늘장 랭킹5] 여행 수요 폭발 기대감! LCC VS 대형항공사 선택은? / 머니투데이방송 (증시, 증권)",MTN 머니투데이방송,https://www.youtube.com/watch?v=BOz2Cnw2wEE,2023-01-18
14,981,15,0,0,항공사+주가,"제주항공(089590), 쏠리드(050890), 한미반도체(042700)_사가지 (20230201)",이데일리TV,https://www.youtube.com/watch?v=hppJg_DTrWw,2023-02-01
15,40564,1135,0,47,항공사+주가,"끝없이 성장하는 2차전지, &#39;이 주식은&#39; 여전히 쌉니다 (염승환 이사)",김작가 TV,https://www.youtube.com/watch?v=n4Y0yV3TokU,2023-02-05
16,180,2,0,0,항공사+주가,[대한항공 주가전망] 외인/기관 쓸어담은 이유? 지금 매물만 소화하면 날라갑니다. #대한항공 #대한항공주가 #대한항공전망 #대한항공주가전망,시크릿차트남,https://www.youtube.com/watch?v=Lv_PvNIxwXY,2023-02-03
17,32457,2291,0,77,항공사+주가,"[시장함께읽기] 2월 3일, NAVER, 카카오, 게임주의 부활과 종목장세!(애플, 저비용항공사, 삼성전자, XR기기, 주주환원, 리사이클링)",염블리와 함께 [이베스트투자증권],https://www.youtube.com/watch?v=JlQvpC03Pmg,2023-02-03
18,302,12,0,2,항공사+주가,티웨이항공 (091810) - 너무 잘 올라서 그만 찍으려구요,허브경제TV,https://www.youtube.com/watch?v=qdfh8YzuzHY,2023-01-30
19,2032,28,0,0,항공사+주가,[마감 20분] 티웨이항공·미래반도체·삼성바이오로직스 Feat. 에코캡 vs 에스트래픽 박정식 주식디자인연구소 대표 / 김태성 비전경제연구소 팀장,매일경제TV,https://www.youtube.com/watch?v=BWRASwgYHI8,2023-01-30
20,99,1,0,0,항공사+주가,"[티웨이항공] 리오프닝 설연휴 맞이 여행 수요 1만배 급증, 세력 손바뀜으로 추가적인 시세 분출 가능성, #티웨이항공주가전망 #티웨이항공주가 #리오프닝 #여행",주식쟁이,https://www.youtube.com/watch?v=deVdSBdeBmg,2023-01-29
21,419,13,0,0,항공사+주가,"[0202 대포차] #SK하이닉스 주요 증권사 1분기 실적 전망 집중해부! #아모레퍼시픽 4분기 어닝서프라이즈#대한항공 화물 부진, 여객은 호조",한국투자증권,https://www.youtube.com/watch?v=eTUDwDtM2QM,2023-02-02
22,609,7,0,0,항공사+주가,대한항공(003490)_김현구 전문가_종목 상담 (20221105),이데일리TV 상담소 ☏,https://www.youtube.com/watch?v=MLnxsYSdVi8,2022-11-07
23,507,12,0,0,항공사+주가,[선택! 오늘의 특징주]     내주식을부탁해/ 선택!오늘의특징주/ 박수범매니저/ 레몬리서치김민수대표/  대한항공/ 로보스타/ 삼성전자/ 삼성중공업/ 카카오페이/ 매일경제TV,MBN골드,https://www.youtube.com/watch?v=II_A3g-DhOk,2023-02-01
24,2982,51,0,1,항공사+주가,[마감 20분] 삼성SDI·코오롱모빌리티그룹·대한항공 Feat. 모트렉스 vs 엠아이텍 이권희 하이투자증권 부장 / 유창희 유스탁 대표,매일경제TV,https://www.youtube.com/watch?v=Rf7czxophow,2023-02-01
25,30338,2419,0,88,항공사+주가,"[시장함께읽기] 2월 1일, 우주항공/폐배터리 등 중소형주 종목장세 전개!(반도체, 항공, 삼성전자, 2월 증시 투자전략, ESS, 석유화학)",염블리와 함께 [이베스트투자증권],https://www.youtube.com/watch?v=XZo1e7_D8MM,2023-02-01
26,510,19,0,4,항공사+주가,"대한항공 주가 전망 | 지금이 정말 중요한 구간이니 &quot;이렇게&quot; 대응해보세요. (기업 분석, 주식 투자 전략, 목표주가, 항공주)",헌터 주식,https://www.youtube.com/watch?v=-qDfbvbdajY,2022-12-08
27,385,1,0,0,항공사+주가,[대한항공 주가 전망] 항공주 급락? 홀더분들 지금이 제일 집중해야 할때 입니다.,주식 챌린저,https://www.youtube.com/watch?v=koA7ZmNPhS0,2022-12-28
28,808,32,0,5,항공사+주가,미국 항공사가 파산하면 대한항공 주가가 빠지는 이유,설명왕_테이버,https://www.youtube.com/watch?v=xTLOD5w9c-k,2020-11-06
29,207,8,0,1,항공사+주가,저가항공사(LCC) 주가분석ㅣ진에어ㅣ제주항공ㅣ에어부산ㅣ티웨이항공ㅣ스몰캡파머ㅣ저평가성장주,스몰캡파머 - 저평가성장주,https://www.youtube.com/watch?v=Za1dJKQJ8TA,2022-12-27
30,54235,613,0,40,항공사+주가,"아시아나 인수하는 대한항공, 주가는 왜이래? | 주식썰전 - 대한항공",한경 코리아마켓,https://www.youtube.com/watch?v=scppPZRS0YI,2020-11-28
31,55,3,0,0,항공사+주가,"저가항공사 중, 이 종목이 가장 빠를겁니다!",리딩스탁TV (고퀄리티 주식 교육 채널),https://www.youtube.com/watch?v=mtxERd48qi8,2022-12-07
32,1890,8,0,1,항공사+주가,코로나 끝? 아시아나 항공 주가 왜 이래? #shorts,돈탐정사무소,https://www.youtube.com/watch?v=jTsMe__9B1o,2022-03-25
33,70206,2957,0,265,항공사+주가,항공사 보잉(BA) 주식 차트로 보는 트레이더의 심리게임 - 주가차트 패턴 101,뉴욕주민,https://www.youtube.com/watch?v=X8EPa7M4Hpk,2020-04-11
34,29049,362,0,35,항공사+주가,진에어가 바뀐다? 최대 규모 항공사의 탄생과 항공업계 전망,캐치TV,https://www.youtube.com/watch?v=QAGeHZvLL9E,2021-01-14
